rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B01GFTEV5Y,"Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop With Crystal Glass,7 Segments LED Display, Auto Switch Off - Black","2 offers from₹2,699.00",2699.0,INR,3.6,74522,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61aM36RGwgL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Pigeon-Stovekraft-Cruise-1800-Watt-Induction/dp/B01GFTEV5Y/ref=zg_bs_g_kitchen_d_sccl_1/522-2386268-5399242?psc=1,2026-03-23T09:53:45.161533,1,19,True,premium,high
2,B0821PN8L4,Amazon Brand - Presto! Garbage Bags | Medium | 180 Count | 30 Bags X 6 Rolls | 19 X 21 Inches | For Dry & Wet Waste | Black,Amazon,335.0,INR,4.4,56893,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61fn1xtHO4L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4/ref=zg_bs_g_kitchen_d_sccl_2/522-2386268-5399242?psc=1,2026-03-23T09:53:45.162473,1,30,True,budget,high
3,B0FQ5JVLL8,"Fresh Assorted Roses (Button Roses), 100g",Fresh,,INR,4.2,424,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61tZVx+LpKL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fresh-Assorted-Roses-Button-100g/dp/B0FQ5JVLL8/ref=zg_bs_g_kitchen_d_sccl_3/522-2386268-5399242?psc=1,2026-03-23T09:53:45.163580,1,6,False,,medium
4,B083C6XMKQ,"ATOM ALISTON K1 Series Digital Kitchen Weighing Scale 10 kg, Electronic Weight Machine with LCD Display for Baking, Cooking, Food & Diet, SF-400/A121. 6Months Warranty (Colour May Vary)",ATOM,215.0,INR,4.0,22046,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/71775fRr+gL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kitchen-Manufacturer-Warranty-capacity-SF400/dp/B083C6XMKQ/ref=zg_bs_g_kitchen_d_sccl_4/522-2386268-5399242?psc=1,2026-03-23T09:53:45.164519,1,28,True,budget,high
5,B09J2T124D,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty",NutriPro,1599.0,INR,4.4,27525,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/71rH4vEE4nL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/NutriPro-Bullet-Juicer-Grinder-Blades/dp/B09J2T124D/ref=zg_bs_g_kitchen_d_sccl_5/522-2386268-5399242?psc=1,2026-03-23T09:53:45.165449,1,20,True,mid,high
6,B01A57IV58,"Trance 100% Waterproof Premium Cotton Feel Mattress Protector King Size 78x72 Inches | Breathable and Hypoallergenic Ultra Soft Fitted Bed Protector Cover (78""x72"" King, Grey)",Trance,574.0,INR,4.2,38895,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61Mx6KEz3QL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Trance-Home-Linen-Waterproof-Dustproof/dp/B01A57IV58/ref=zg_bs_g_kitchen_d_sccl_6/522-2386268-5399242?psc=1,2026-03-23T09:53:45.166444,1,25,True,mid,high
7,B08LQRXXNB,Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organizer For Clothes with Transparent Window (Grey)(Shark Tank Featured) 45cmx33cmx22cm,Homestrap,327.0,INR,4.1,21288,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/71zjvUApaRL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Homestrap-Non-Woven-Organizer-Transparent-Featured/dp/B08LQRXXNB/ref=zg_bs_g_kitchen_d_sccl_7/522-2386268-5399242?psc=1,2026-03-23T09:53:45.167460,1,19,True,budget,high
8,B0821PYKVK,Amazon Brand - Presto! Garbage Bags | Large | 90 Count | 15 Bags X 6 Rolls | 24 X 32 Inches | For Dry & Wet Waste | Black,Amazon,329.0,INR,4.4,16781,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61fn1xtHO4L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=zg_bs_g_kitchen_d_sccl_8/522-2386268-5399242?psc=1,2026-03-23T09:53:45.168436,1,30,True,budget,high
9,B0C4DMRHYG,Prestige IRIS ECO 1200 W Induction Cooktop with automatic voltage regulator |Indian Menu option|Power Saver|Timer with User Pre-Set|1 year warranty|Black,Prestige,,INR,3.8,11616,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61Vu80YcolL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Prestige-IRIS-ECO-Induction-automatic/dp/B0C4DMRHYG/ref=zg_bs_g_kitchen_d_sccl_9/522-2386268-5399242?psc=1,2026-03-23T09:53:45.169539,1,20,False,,high
10,B0CCM8L54V,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",Zulaxy,269.0,INR,4.0,15899,Kitchen,Kitchen,,"https://images-eu.ssl-images-amazon.com/images/I/61WnmpLwAQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Zulaxy-Drilling-Adhesive-Transparent-Stainless/dp/B0CCM8L54V/ref=zg_bs_g_kitchen_d_sccl_10/522-2386268-5399242?psc=1,2026-03-23T09:53:45.170467,1,29,True,budget,high
